prev_ictv_id	next_ictv_id	is_merged	is_split	dist	rev_count
20165223	20165223	0	0	0	0
20165224	20165224	0	0	0	0
20165225	20165225	0	0	0	0
20165226	20165226	0	0	0	0
20165227	20165227	0	0	0	0
20165228	20165228	0	0	0	0
20165229	20165229	0	0	0	0
20165230	20165230	0	0	0	0
20165231	20165231	0	0	0	0
20165232	20165232	0	0	0	0
20165233	20165233	0	0	0	0
20165234	20165234	0	0	0	0
20165235	20165235	0	0	0	0
20165236	20165236	0	0	0	0
20165237	20165237	0	0	0	0
20165238	20165238	0	0	0	0
20165239	20165239	0	0	0	0
20165240	20165240	0	0	0	0
20165241	20165241	0	0	0	0
20165242	20165242	0	0	0	0
20165243	20165243	0	0	0	0
20165244	20165244	0	0	0	0
20165245	20165245	0	0	0	0
20165246	20165246	0	0	0	0
20165247	20165247	0	0	0	0
20165248	20165248	0	0	0	0
20165249	20165249	0	0	0	0
20165250	20165250	0	0	0	0
20165251	20165251	0	0	0	0
20165252	20165252	0	0	0	0
20165253	20165253	0	0	0	0
20165254	20165254	0	0	0	0
20165255	20165255	0	0	0	0
20165256	20165256	0	0	0	0
20165257	20165257	0	0	0	0
20165258	20165258	0	0	0	0
20165259	20165259	0	0	0	0
20165260	20165260	0	0	0	0
20165261	20165261	0	0	0	0
20165262	20165262	0	0	0	0
20165263	20165263	0	0	0	0
20165264	20165264	0	0	0	0
20165265	20165265	0	0	0	0
20165266	20165266	0	0	0	0
20165267	20165267	0	0	0	0
20165268	20165268	0	0	0	0
20165269	20165269	0	0	0	0
20165270	20165270	0	0	0	0
20165271	20165271	0	0	0	0
20165272	20165272	0	0	0	0
20165273	20165273	0	0	0	0
20165274	20165274	0	0	0	0
20165275	20165275	0	0	0	0
20165276	20165276	0	0	0	0
20165277	20165277	0	0	0	0
20165278	20165278	0	0	0	0
20165279	20165279	0	0	0	0
20165280	20165280	0	0	0	0
20165281	20165281	0	0	0	0
20165282	20165282	0	0	0	0
20165283	20165283	0	0	0	0
20165284	20165284	0	0	0	0
20165285	20165285	0	0	0	0
20165286	20165286	0	0	0	0
20165287	20165287	0	0	0	0
20165288	20165288	0	0	0	0
20165289	20165289	0	0	0	0
20165290	20165290	0	0	0	0
20165291	20165291	0	0	0	0
20165292	20165292	0	0	0	0
20165293	20165293	0	0	0	0
20165294	20165294	0	0	0	0
20165295	20165295	0	0	0	0
20165296	20165296	0	0	0	0
20165297	20165297	0	0	0	0
20165298	20165298	0	0	0	0
20165299	20165299	0	0	0	0
20165300	20165300	0	0	0	0
20165301	20165301	0	0	0	0
20165302	20165302	0	0	0	0
20165303	20165303	0	0	0	0
20165304	20165304	0	0	0	0
20165305	20165305	0	0	0	0
20165306	20165306	0	0	0	0
20165307	20165307	0	0	0	0
20165308	20165308	0	0	0	0
20165309	20165309	0	0	0	0
20165310	20165310	0	0	0	0
20165311	20165311	0	0	0	0
20165312	20165312	0	0	0	0
20165313	20165313	0	0	0	0
20165314	20165314	0	0	0	0
20165315	20165315	0	0	0	0
20165316	20165316	0	0	0	0
20165317	20165317	0	0	0	0
20165318	20165318	0	0	0	0
20165319	20165319	0	0	0	0
20165320	20165320	0	0	0	0
20165321	20165321	0	0	0	0
20165322	20165322	0	0	0	0
20165323	20165323	0	0	0	0
20165324	20165324	0	0	0	0
20165325	20165325	0	0	0	0
20165326	20165326	0	0	0	0
20165327	20165327	0	0	0	0
20165328	20165328	0	0	0	0
20165329	20165329	0	0	0	0
20165330	20165330	0	0	0	0
20165331	20165331	0	0	0	0
20165332	20165332	0	0	0	0
20165333	20165333	0	0	0	0
20165334	20165334	0	0	0	0
20165335	20165335	0	0	0	0
20165336	20165336	0	0	0	0
20165337	20165337	0	0	0	0
20165338	20165338	0	0	0	0
20165339	20165339	0	0	0	0
20165340	20165340	0	0	0	0
20165341	20165341	0	0	0	0
20165342	20165342	0	0	0	0
20165343	20165343	0	0	0	0
20165344	20165344	0	0	0	0
20165345	20165345	0	0	0	0
20165346	20165346	0	0	0	0
20165347	20165347	0	0	0	0
20165348	20165348	0	0	0	0
20165349	20165349	0	0	0	0
20165350	20165350	0	0	0	0
20165351	20165351	0	0	0	0
20165352	20165352	0	0	0	0
20165353	20165353	0	0	0	0
20165354	20165354	0	0	0	0
20165355	20165355	0	0	0	0
20165356	20165356	0	0	0	0
20165357	20165357	0	0	0	0
20165358	20165358	0	0	0	0
20165359	20165359	0	0	0	0
20165360	20165360	0	0	0	0
20165361	20165361	0	0	0	0
20165362	20165362	0	0	0	0
20165363	20165363	0	0	0	0
20165364	20165364	0	0	0	0
20165365	20165365	0	0	0	0
20165366	20165366	0	0	0	0
20165367	20165367	0	0	0	0
20165368	20165368	0	0	0	0
20165369	20165369	0	0	0	0
20165370	20165370	0	0	0	0
20165371	20165371	0	0	0	0
20165372	20165372	0	0	0	0
20165373	20165373	0	0	0	0
20165374	20165374	0	0	0	0
20165375	20165375	0	0	0	0
20165376	20165376	0	0	0	0
20165377	20165377	0	0	0	0
20165378	20165378	0	0	0	0
20165379	20165379	0	0	0	0
20165380	20165380	0	0	0	0
20165381	20165381	0	0	0	0
20165382	20165382	0	0	0	0
20165383	20165383	0	0	0	0
20165384	20165384	0	0	0	0
20165385	20165385	0	0	0	0
20165386	20165386	0	0	0	0
20165387	20165387	0	0	0	0
20165388	20165388	0	0	0	0
20165389	20165389	0	0	0	0
20165390	20165390	0	0	0	0
20165391	20165391	0	0	0	0
20165392	20165392	0	0	0	0
20165393	20165393	0	0	0	0
20165394	20165394	0	0	0	0
20165395	20165395	0	0	0	0
20165396	20165396	0	0	0	0
20165397	20165397	0	0	0	0
20165398	20165398	0	0	0	0
20165399	20165399	0	0	0	0
20165400	20165400	0	0	0	0
20165401	20165401	0	0	0	0
20165402	20165402	0	0	0	0
20165403	20165403	0	0	0	0
20165404	20165404	0	0	0	0
20165405	20165405	0	0	0	0
20165406	20165406	0	0	0	0
20165407	20165407	0	0	0	0
20165408	20165408	0	0	0	0
20165409	20165409	0	0	0	0
20165410	20165410	0	0	0	0
20165411	20165411	0	0	0	0
20165412	20165412	0	0	0	0
20165413	20165413	0	0	0	0
20165414	20165414	0	0	0	0
20165415	20165415	0	0	0	0
20165416	20165416	0	0	0	0
20165417	20165417	0	0	0	0
20165418	20165418	0	0	0	0
20165419	20165419	0	0	0	0
20165420	20165420	0	0	0	0
20165421	20165421	0	0	0	0
20165422	20165422	0	0	0	0
20165423	20165423	0	0	0	0
20165424	20165424	0	0	0	0
20165425	20165425	0	0	0	0
20165426	20165426	0	0	0	0
20165427	20165427	0	0	0	0
20165428	20165428	0	0	0	0
20165429	20165429	0	0	0	0
20165430	20165430	0	0	0	0
20165431	20165431	0	0	0	0
20165432	20165432	0	0	0	0
20165433	20165433	0	0	0	0
20165434	20165434	0	0	0	0
20165435	20165435	0	0	0	0
20165436	20165436	0	0	0	0
20165437	20165437	0	0	0	0
20165438	20165438	0	0	0	0
20165439	20165439	0	0	0	0
20165440	20165440	0	0	0	0
20165441	20165441	0	0	0	0
20165442	20165442	0	0	0	0
20165443	20165443	0	0	0	0
20165444	20165444	0	0	0	0
20165445	20165445	0	0	0	0
20165446	20165446	0	0	0	0
20165447	20165447	0	0	0	0
20165448	20165448	0	0	0	0
20165449	20165449	0	0	0	0
20165450	20165450	0	0	0	0
20165451	20165451	0	0	0	0
20165452	20165452	0	0	0	0
20165453	20165453	0	0	0	0
20165454	20165454	0	0	0	0
20165455	20165455	0	0	0	0
20165456	20165456	0	0	0	0
20165457	20165457	0	0	0	0
20165458	20165458	0	0	0	0
20165459	20165459	0	0	0	0
20165460	20165460	0	0	0	0
20165461	20165461	0	0	0	0
20165462	20165462	0	0	0	0
20165463	20165463	0	0	0	0
20165464	20165464	0	0	0	0
20165465	20165465	0	0	0	0
20165466	20165466	0	0	0	0
20165467	20165467	0	0	0	0
